evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,917477.8508,928089.3614,756094.6518
1000,640517.4899,610903.7376,625977.2202
2000,323696.3963,266188.9835,319276.1577
3000,133110.8609,142747.3347,158769.9918
4000,83807.86659,97973.51498,76773.80884
5000,43584.92061,64862.95782,53755.48522
6000,33941.80503,54893.60126,33548.46644
7000,22463.53846,32905.92279,26648.62408
8000,18608.65266,22745.55104,9175.167139
9000,13654.3311,14989.84065,8386.116053
10000,6688.930654,6275.867305,8209.01664
11000,4755.066817,4603.729496,3769.636831
12000,2635.831061,2551.912153,3769.636831
13000,1782.449593,2551.912153,1941.825474
14000,1153.434794,2012.433471,1137.714275
15000,1153.434794,966.5870946,891.5126792
16000,771.0805184,735.4120917,670.2694446
17000,548.675944,711.9550981,555.4143401
18000,352.6972925,391.9516772,388.4041363
19000,223.707794,344.2221314,247.5038985
20000,165.3312774,203.4490418,162.8803027
21000,117.4019355,84.74238481,107.4659229
22000,116.0518825,84.74238481,68.8368539
23000,95.99180327,84.74238481,68.8368539
24000,84.14495327,81.46652188,62.92005959
25000,79.68838185,78.02756261,54.33748598
26000,75.03354721,70.54363603,53.06154141
27000,71.97790977,66.26138302,47.42112164
28000,67.75636787,61.30677529,46.10279996
29000,64.54599407,60.41596631,42.85959063
30000,63.82486038,59.80579609,42.85959063
31000,59.98997477,57.43962158,41.07108242
32000,56.81738594,56.61561116,40.13684607
33000,56.81738594,55.82883346,39.13103276
34000,53.17383476,53.1431339,38.19788642
35000,50.38583,51.40094478,38.06901017
36000,48.18704923,50.32459605,36.29439567
37000,41.2366338,47.20143073,34.30273251
38000,37.12940996,43.80783205,33.60240257
39000,36.71991881,41.0711357,31.2355835
40000,34.08038384,37.80729322,30.038539
41000,31.85130325,35.09374997,26.77739769
42000,30.58271299,33.06341101,25.12182026
43000,27.16156361,31.36377083,23.11495755
44000,25.12658341,27.75618935,22.2250219
45000,23.37214646,25.92976435,21.14125102
46000,21.84056433,23.63353379,18.25800673
47000,20.32118282,20.75658984,16.76445207
48000,18.43375394,18.7112377,14.69524186
49000,16.5480877,18.60571251,13.27603759
50000,15.08478045,16.66911234,12.49026328
51000,14.30376844,15.35442195,10.27245666
52000,12.9359898,14.60411571,9.404502342
53000,12.24414878,13.88073506,8.655305303
54000,12.12310446,13.37026196,8.075204825
55000,11.4516394,12.79487125,7.534860082
56000,11.02094504,12.30254834,6.780650838
57000,10.65600224,12.26059598,5.668037203
58000,10.37808651,11.72161171,4.562940997
59000,10.27749812,11.19467687,4.179296523
60000,9.965881315,10.82809307,3.649052434
61000,9.67211878,10.60712475,3.583989678
62000,9.392809722,10.3490696,3.043511844
63000,9.178360523,10.09991685,2.987116161
64000,8.816520699,9.816223758,2.764335909
65000,8.805348621,9.816223758,2.563263792
66000,8.396282021,9.544956138,2.503479098
67000,8.215050321,9.277479878,2.254872055
68000,7.866380832,8.996349176,2.050858588
69000,7.672442192,8.866115327,1.78245534
70000,7.352208205,8.496198725,1.634325141
71000,7.046064001,8.332018052,1.350301505
72000,7.030924211,7.889427776,1.234072481
73000,6.803917886,7.889427776,1.065493275
74000,6.604918013,7.607885518,1.033929488
75000,6.331638968,7.355594868,0.942232701
76000,6.018616933,7.160459189,0.858896331
77000,6.018616933,6.991723243,0.811691654
78000,5.602381566,6.745066015,0.732514563
79000,5.362797685,6.548594328,0.65639865
80000,5.001184054,6.329957932,0.602718939
81000,4.856029736,6.130266598,0.593923038
82000,4.557605648,5.854395372,0.51582236
83000,4.328983586,5.61819514,0.487450719
84000,4.250299664,5.472805372,0.422365977
85000,4.048748414,5.334951062,0.414143369
86000,3.983680827,5.138602655,0.369281044
87000,3.833735499,4.973046727,0.292928286
88000,3.731857304,4.857860087,0.276682212
89000,3.602777382,4.542619081,0.233115124
90000,3.557480811,4.389595485,0.220112188
91000,3.425195687,4.050501121,0.19219663
92000,3.308416287,4.046752224,0.187066752
93000,3.178903936,3.854292732,0.169391957
94000,3.02048255,3.691195427,0.149236943
95000,2.922516522,3.539548667,0.138630779
96000,2.799837047,3.491009451,0.121998445
97000,2.687286734,3.267432711,0.110108739
98000,2.638337392,3.251701145,0.10483043
99000,2.602084224,3.11551631,0.096097185
100000,2.573524441,2.956428161,0.089797295
101000,2.533377156,2.835119219,0.081221358
102000,2.498568611,2.795895485,0.07435423
103000,2.454938782,2.607448589,0.07435423
104000,2.4247271,2.587627978,0.070196057
105000,2.365335595,2.506187855,0.061274815
106000,2.347419625,2.333802307,0.061274815
107000,2.306029708,2.238638763,0.058523183
108000,2.22799562,2.177719966,0.056146313
109000,2.218980136,2.044265393,0.053779016
110000,2.172472548,2.039789944,0.049858689
111000,2.138101969,2.000796683,0.044829061
112000,2.137644825,1.914236171,0.042074699
113000,2.114944592,1.821495171,0.038667443
114000,2.094151736,1.821495171,0.033570091
115000,2.073340919,1.773448612,0.031749914
116000,2.055239399,1.700232341,0.030508977
117000,2.040941934,1.660030908,0.027897327
118000,2.017523693,1.612321818,0.027471556
119000,2.000300146,1.576317159,0.026352317
120000,1.977862498,1.532913459,0.025548734
121000,1.943208506,1.493234651,0.024697731
122000,1.920984023,1.399396808,0.023771671
123000,1.889348217,1.328710921,0.022725263
124000,1.870492845,1.295980644,0.021691031
125000,1.855676046,1.252098122,0.020557802
126000,1.833891879,1.184337504,0.018863096
127000,1.827177985,1.168111642,0.017866682
128000,1.812700768,1.143513449,0.017041091
129000,1.800189116,1.084588427,0.016399793
130000,1.782274363,1.058602111,0.016010324
131000,1.766834113,1.032715429,0.015360034
132000,1.755191674,1.012931764,0.014451371
133000,1.731188043,0.9775333,0.013643076
134000,1.720130455,0.965258626,0.013124027
135000,1.702535544,0.947522689,0.012329767
136000,1.690128438,0.903768518,0.011594147
137000,1.679685094,0.877167521,0.010723421
138000,1.667126457,0.860204967,0.010125821
139000,1.647364825,0.822846634,0.009550962
140000,1.64220231,0.819399042,0.008870495
141000,1.623686558,0.79756609,0.008173108
142000,1.603662619,0.789022634,0.00789668
143000,1.597792439,0.777135328,0.007489287
144000,1.586851837,0.758017272,0.00717903
145000,1.56423682,0.75564135,0.006876323
146000,1.55369643,0.74543502,0.006486155
147000,1.541778414,0.738026336,0.006133387
148000,1.524950127,0.732653974,0.005667708
149000,1.499397247,0.721643989,0.005586637
150000,1.48026662,0.713028861,0.005248786
151000,1.471557027,0.704762949,0.00491803
152000,1.443550311,0.694724946,0.004700071
153000,1.439708095,0.683261582,0.004465657
154000,1.424421327,0.679883118,0.004136352
155000,1.421989379,0.672645111,0.003964623
156000,1.410316486,0.663931341,0.003593328
157000,1.399020259,0.659177956,0.003487502
158000,1.38589393,0.648027146,0.003170221
159000,1.383509321,0.630887574,0.00299521
160000,1.373695475,0.630887574,0.002609859
161000,1.370829995,0.622646409,0.002576132
162000,1.363964519,0.615907298,0.002443028
163000,1.359001166,0.607969503,0.002295289
164000,1.350207789,0.597431061,0.00226156
165000,1.340265858,0.595797435,0.002106613
166000,1.330237433,0.587540193,0.001966592
167000,1.323042434,0.576919409,0.001825847
168000,1.318044777,0.572587202,0.001718712
169000,1.306752394,0.563451903,0.001640854
170000,1.296350692,0.558639687,0.00152629
171000,1.288725419,0.555151043,0.001417511
172000,1.277740895,0.5488928,0.00138491
173000,1.257372693,0.54411872,0.001337063
174000,1.251829916,0.537266284,0.001269029
175000,1.234884492,0.531318506,0.001197698
176000,1.222215661,0.526647596,0.001128608
177000,1.210080874,0.52103833,0.001014764
178000,1.200235759,0.516497178,9.88E-04
179000,1.193070243,0.50891464,9.54E-04
180000,1.189469075,0.501496234,8.92E-04
181000,1.181480094,0.493817517,8.55E-04
182000,1.176230211,0.492308327,8.30E-04
183000,1.165681951,0.485960312,7.84E-04
184000,1.155776106,0.483148428,7.48E-04
185000,1.144491422,0.480368688,7.03E-04
186000,1.132211452,0.473216692,6.90E-04
187000,1.127072546,0.473216692,6.52E-04
188000,1.121128801,0.472249715,6.17E-04
189000,1.11116774,0.467221761,5.85E-04
190000,1.106090008,0.463236024,5.56E-04
191000,1.098190611,0.461575572,5.34E-04
192000,1.092404205,0.458045185,5.16E-04
193000,1.084912521,0.454312212,4.97E-04
194000,1.079547768,0.449093819,4.92E-04
195000,1.07378838,0.446696141,4.71E-04
196000,1.069024392,0.44223944,4.60E-04
197000,1.065021099,0.438648933,4.48E-04
198000,1.064134536,0.432708824,4.39E-04
199000,1.061109304,0.430472502,4.25E-04
200000,1.058410816,0.420662467,4.10E-04
201000,1.055337359,0.41388221,4.02E-04
202000,1.048833309,0.408610056,3.86E-04
203000,1.04690287,0.402431299,3.78E-04
204000,1.043321912,0.399443122,3.71E-04
205000,1.040160911,0.39372111,3.65E-04
206000,1.036832236,0.392704149,3.52E-04
207000,1.034529701,0.385994981,3.36E-04
208000,1.032900068,0.383038212,3.34E-04
209000,1.030748487,0.375821841,3.24E-04
210000,1.028435494,0.370301798,3.17E-04
211000,1.027380973,0.367121243,2.99E-04
212000,1.024980441,0.362822157,2.98E-04
213000,1.021585772,0.361654168,2.84E-04
214000,1.018797507,0.360377221,2.74E-04
215000,1.017340127,0.358885063,2.64E-04
216000,1.015447779,0.356451179,2.54E-04
217000,1.011537071,0.355275209,2.42E-04
218000,1.010747236,0.352379906,2.29E-04
219000,1.008178934,0.349857164,2.28E-04
220000,1.005615679,0.346910185,2.20E-04
221000,1.00206721,0.342026457,2.08E-04
222000,0.999751194,0.342026457,2.02E-04
223000,0.994477176,0.339172114,1.98E-04
224000,0.992293339,0.338040118,1.94E-04
225000,0.990395979,0.336961907,1.83E-04
226000,0.989133847,0.335840007,1.81E-04
227000,0.98479251,0.334409324,1.74E-04
228000,0.982978123,0.33262112,1.69E-04
229000,0.98121304,0.332261477,1.65E-04
230000,0.979698647,0.331350068,1.58E-04
231000,0.975110153,0.33040502,1.58E-04
232000,0.974332714,0.33040502,1.54E-04
233000,0.972390285,0.32982834,1.50E-04
234000,0.969119647,0.329159517,1.46E-04
235000,0.966701849,0.329057169,1.42E-04
236000,0.962788858,0.328384042,1.38E-04
237000,0.960890513,0.327803815,1.36E-04
238000,0.959494929,0.327166914,1.29E-04
239000,0.957666912,0.32678904,1.27E-04
240000,0.955696516,0.326114138,1.25E-04
241000,0.953471352,0.325394721,1.22E-04
242000,0.952436236,0.325104895,1.19E-04
243000,0.949435683,0.324522097,1.18E-04
244000,0.948076015,0.324028503,1.16E-04
245000,0.944943357,0.323072656,1.12E-04
246000,0.943133771,0.322407418,1.10E-04
247000,0.941975923,0.321347118,1.08E-04
248000,0.940641182,0.320655198,1.06E-04
249000,0.939110066,0.32013029,1.04E-04
250000,0.936173275,0.319078456,1.02E-04
251000,0.935738487,0.318380894,1.00E-04
252000,0.932793945,0.317088323,9.91E-05
253000,0.932532287,0.316177987,9.68E-05
254000,0.931465055,0.314763095,9.57E-05
255000,0.930495188,0.314709987,9.37E-05
256000,0.929064107,0.313790799,9.28E-05
257000,0.927899716,0.313203094,9.17E-05
258000,0.926104663,0.312321688,9.16E-05
259000,0.924277598,0.312075001,9.05E-05
260000,0.923098818,0.311393187,8.98E-05
261000,0.922000748,0.310664,8.84E-05
262000,0.919986419,0.310176293,8.81E-05
263000,0.918058909,0.309469894,8.67E-05
264000,0.91613424,0.308540091,8.60E-05
265000,0.914303743,0.30814594,8.56E-05
266000,0.912395302,0.30739027,8.54E-05
267000,0.910372361,0.306905277,8.44E-05
268000,0.909168173,0.306618474,8.38E-05
269000,0.90588358,0.305658113,8.31E-05
270000,0.905329472,0.305301075,8.25E-05
271000,0.902882815,0.304815411,8.17E-05
272000,0.901421493,0.304557759,8.06E-05
273000,0.900312933,0.303771883,7.99E-05
274000,0.896274361,0.303254836,7.90E-05
275000,0.893639938,0.302619213,7.83E-05
276000,0.89305221,0.302287228,7.75E-05
277000,0.889033585,0.302005335,7.63E-05
278000,0.885449855,0.301351792,7.53E-05
279000,0.883289538,0.300759753,7.37E-05
280000,0.879058017,0.300631423,7.36E-05
281000,0.877235179,0.300025082,7.25E-05
282000,0.873047556,0.299573665,7.16E-05
283000,0.867520561,0.299316239,7.06E-05
284000,0.861302885,0.298640944,7.01E-05
285000,0.854209825,0.298334635,6.91E-05
286000,0.853870651,0.298025306,6.85E-05
287000,0.84984208,0.297516504,6.73E-05
288000,0.847566425,0.297051019,6.62E-05
289000,0.844898063,0.296666646,6.48E-05
290000,0.843681661,0.296203889,6.42E-05
291000,0.842741551,0.295765403,6.32E-05
292000,0.841575039,0.295481986,6.17E-05
293000,0.840753056,0.294673516,6.08E-05
294000,0.839884997,0.294298281,6.02E-05
295000,0.838053734,0.293546673,5.95E-05
296000,0.837852356,0.292677517,5.89E-05
297000,0.835915015,0.292044681,5.81E-05
298000,0.834718914,0.291722222,5.74E-05
299000,0.833025949,0.290344285,5.60E-05
300000,0.832166523,0.289895085,5.56E-05
301000,0.831447686,0.289142775,5.49E-05
302000,0.830463868,0.288651022,5.39E-05
303000,0.829419201,0.28799032,5.21E-05
304000,0.827750928,0.287692373,5.21E-05
305000,0.826547758,0.286721048,5.05E-05
306000,0.823295988,0.286439763,5.02E-05
307000,0.822213898,0.285982654,4.85E-05
308000,0.819503973,0.285452155,4.75E-05
309000,0.818370351,0.284843499,4.69E-05
310000,0.816793878,0.284357225,4.58E-05
311000,0.815283877,0.283060923,4.46E-05
312000,0.813802798,0.282721812,4.33E-05
313000,0.812587402,0.28234702,4.24E-05
314000,0.810685578,0.281919359,4.10E-05
315000,0.80887352,0.281346667,3.97E-05
316000,0.808170984,0.281025728,3.80E-05
317000,0.804592352,0.280760109,3.66E-05
318000,0.800508938,0.280234432,3.43E-05
319000,0.799104295,0.27970089,3.33E-05
320000,0.794681309,0.278799202,3.29E-05
321000,0.792704991,0.278694526,3.27E-05
322000,0.790991903,0.277802774,3.22E-05
323000,0.787777852,0.277608257,3.21E-05
324000,0.784059515,0.277152043,3.17E-05
325000,0.782106355,0.27624957,3.12E-05
326000,0.780368854,0.275988738,3.08E-05
327000,0.776948714,0.275286202,3.05E-05
328000,0.77475908,0.274944526,3.02E-05
329000,0.773446911,0.274773464,2.99E-05
330000,0.771301533,0.274316872,2.99E-05
331000,0.768165717,0.273867312,2.96E-05
332000,0.765622455,0.273597289,2.94E-05
333000,0.764468616,0.273187587,2.90E-05
334000,0.763226769,0.272916266,2.87E-05
335000,0.762430131,0.272818135,2.85E-05
336000,0.760460093,0.272506422,2.82E-05
337000,0.75875645,0.272454286,2.79E-05
338000,0.756258621,0.272214532,2.78E-05
339000,0.755158774,0.272102522,2.76E-05
340000,0.752808091,0.271924225,2.75E-05
