evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,489938.2573,586180.4207,544029.8361
1000,135152.7748,180327.4243,174436.1982
2000,99188.00213,115433.9438,111590.3335
3000,80412.83666,35578.93178,74012.86997
4000,37624.17151,41148.56326,37128.53945
5000,26135.43343,23475.17153,28202.07098
6000,15926.65822,19852.0342,16737.65
7000,11514.70347,15133.28672,16737.65
8000,8206.476365,9418.208529,7140.021409
9000,6669.330419,6331.784769,3320.608574
10000,3008.669119,3413.299739,3757.93521
11000,2438.769044,3413.299739,2335.435787
12000,1647.700664,1667.908711,1210.322622
13000,841.6494762,996.3628145,761.4400146
14000,710.7880156,632.3464824,595.808495
15000,487.8701255,632.3464824,315.73162
16000,267.7366251,254.6445184,256.7105636
17000,241.8446205,167.4059738,155.6245097
18000,182.9614047,127.1744461,150.6672022
19000,90.37249167,87.61483378,92.80206918
20000,41.49006685,40.95504664,44.8184575
21000,41.49006685,33.01485647,52.62915502
22000,20.89623877,19.19502686,19.66360524
23000,20.33423299,18.31626675,19.66360524
24000,14.19903338,13.77676066,16.81296479
25000,4.91680842,9.694653604,4.963707942
26000,3.533378707,5.139966195,4.5367398
27000,4.841614237,3.604528182,3.523550274
28000,2.12335909,2.416445137,1.522828027
29000,1.700328826,2.302556795,1.372611908
30000,0.849104538,1.348411446,0.967184242
31000,0.849104538,1.052409813,0.896894759
32000,0.712706754,1.052409813,0.678019008
33000,0.449343836,0.921013869,0.39836805
34000,0.446182457,0.653052172,0.334477412
35000,0.300519492,0.653052172,0.311120134
36000,0.263113196,0.486835943,0.220128572
37000,0.225926318,0.382839766,0.129444784
38000,0.191899157,0.330725953,0.131912782
39000,0.12079328,0.253638421,0.11275465
40000,0.101894364,0.204196345,0.086496732
41000,0.082391766,0.154204505,0.067058723
42000,0.063492777,0.108344247,0.053213013
43000,0.034354999,0.083313381,0.037332859
44000,0.025615474,0.078195931,0.026441403
45000,0.015456563,0.050577596,0.017212054
46000,0.013332188,0.050577596,0.010615369
47000,0.009442625,0.041565785,0.005572669
48000,0.006884473,0.03217736,0.00429689
49000,0.005495052,0.02479339,0.002751311
50000,0.00374869,0.014696973,0.002402142
51000,0.004157682,0.010734229,0.001382617
52000,0.002866601,0.006439506,6.57E-04
53000,0.002263957,0.004421726,4.67E-04
54000,0.001900456,0.003087549,3.94E-04
55000,0.00143423,0.00244091,1.96E-04
56000,0.001129152,0.001618936,1.96E-04
57000,8.42E-04,0.001196109,1.20E-04
58000,6.92E-04,9.89E-04,9.60E-05
59000,5.37E-04,5.15E-04,7.03E-05
60000,4.68E-04,3.78E-04,4.41E-05
61000,3.64E-04,2.33E-04,3.01E-05
62000,2.55E-04,1.25E-04,2.02E-05
63000,1.73E-04,1.19E-04,1.16E-05
64000,9.17E-05,8.34E-05,7.65E-06
65000,6.60E-05,4.38E-05,7.44E-06
66000,5.45E-05,4.16E-05,4.69E-06
67000,3.29E-05,2.55E-05,4.67E-06
68000,2.27E-05,1.29E-05,2.19E-06
69000,1.89E-05,1.23E-05,1.29E-06
70000,1.06E-05,7.70E-06,7.52E-07
71000,9.45E-06,5.79E-06,7.52E-07
72000,6.54E-06,3.65E-06,3.80E-07
73000,5.05E-06,2.94E-06,3.26E-07
74000,3.59E-06,1.72E-06,2.17E-07
75000,2.33E-06,1.20E-06,1.36E-07
76000,1.12E-06,8.30E-07,
77000,1.26E-06,2.79E-07,
78000,7.66E-07,3.20E-07,
79000,4.49E-07,1.91E-07,
80000,3.07E-07,1.91E-07,
81000,2.97E-07,1.30E-07,
82000,1.93E-07,,
83000,1.12E-07,,
