evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,489938.2573,586180.4207,544029.8361
1000,163528.2171,184018.7948,146859.7648
2000,163528.2171,104950.0904,139753.4984
3000,21934.84883,102839.1157,103884.7545
4000,21934.84883,75567.62133,96059.68743
5000,21934.84883,75567.62133,68209.45649
6000,21934.84883,51986.33108,59105.98723
7000,30213.10577,51986.33108,30373.56928
8000,27195.00694,28761.58326,27617.83461
9000,10902.9386,24678.37711,16807.00267
10000,6801.045904,15313.41146,16807.00267
11000,6801.045904,9073.827038,14406.68444
12000,6801.045904,8927.182518,5853.605071
13000,5820.51041,3963.481597,5660.458728
14000,4762.846198,5216.727608,3996.533834
15000,4143.977181,4955.998098,3886.811309
16000,3792.993704,2108.652201,3886.811309
17000,2966.228439,2108.652201,3017.130359
18000,1682.676509,1318.663276,2475.880487
19000,984.3754212,1318.663276,1099.394414
20000,984.3754212,1268.86193,1040.698789
21000,724.3016198,1145.192195,893.3945975
22000,460.3717415,812.9528584,888.995705
23000,395.3010447,567.9913101,459.8894683
24000,405.0914207,360.0175414,257.2393094
25000,222.6099672,292.950961,198.7655407
26000,190.5863319,141.8762774,198.7655407
27000,189.0124598,141.8762774,184.8171444
28000,110.3532581,141.8762774,184.8171444
29000,95.40650366,118.1418446,98.77346103
30000,88.11125125,96.27967859,59.89546682
31000,86.23322523,47.63204552,58.72410104
32000,56.98327803,45.19593485,58.72410104
33000,44.23366571,45.19593485,50.01293454
34000,21.76007361,30.34383794,38.54182958
35000,21.76007361,21.66697943,17.84039439
36000,19.82413981,21.66697943,17.84039439
37000,8.137028279,11.73752546,14.10071742
38000,12.61609063,6.91057845,14.10071742
39000,11.20926919,6.91057845,11.69922655
40000,7.378156706,6.096708961,6.809867441
41000,4.783939588,4.602846213,4.94088994
42000,3.055795787,3.311510887,4.165154797
43000,3.055795787,3.107578047,4.165154797
44000,2.717352944,2.650954215,3.097522038
45000,1.863634459,2.476196788,3.051253456
46000,1.673089947,2.476196788,2.201611425
47000,1.163919381,1.84351327,1.833107075
48000,1.163919381,1.269338013,1.523699413
49000,0.739837555,1.29680828,1.512178406
50000,0.657602356,1.082117221,0.997598366
51000,0.739837555,0.855634613,0.997598366
52000,0.571136166,0.689854741,0.997598366
53000,0.571136166,0.777221292,0.89952426
54000,0.561658701,0.767133112,0.794945606
55000,0.414663537,0.694930174,0.706803833
56000,0.333556924,0.561587041,0.706803833
57000,0.333556924,0.561587041,0.610641674
58000,0.293197064,0.454929761,0.575682251
59000,0.26679716,0.438677115,0.575682251
60000,0.233476762,0.352463598,0.419654898
61000,0.233476762,0.204779113,0.413508383
62000,0.194017107,0.196686393,0.313054933
63000,0.148679118,0.174501866,0.262856486
64000,0.148679118,0.096835365,0.171387655
65000,0.133972622,0.089434026,0.166204852
66000,0.129495183,0.075065931,0.092418539
67000,0.098918893,0.05007932,0.07807283
68000,0.097964405,0.05007932,0.069725937
69000,0.084871376,0.032165177,0.055096206
70000,0.066971474,0.027667744,0.033352282
71000,0.053718934,0.022832442,0.02956094
72000,0.044852159,0.019956866,0.026595333
73000,0.037231365,0.014373205,0.016239698
74000,0.028209867,0.009874403,0.016239698
75000,0.023157976,0.007541439,0.007838926
76000,0.023616495,0.005671839,0.007041618
77000,0.018491879,0.005671839,0.007024633
78000,0.009883288,0.003294062,0.005589014
79000,0.009517793,0.003586416,0.003915754
80000,0.007361915,0.001510322,0.002879796
81000,0.005505807,0.001510322,0.002859573
82000,0.005505807,0.001510322,0.002506853
83000,0.003127377,0.001150134,0.002133909
84000,0.003127377,7.35E-04,0.001731043
85000,0.002623318,6.06E-04,0.001047786
86000,0.002170883,5.13E-04,9.11E-04
87000,0.001349524,2.28E-04,7.29E-04
88000,9.69E-04,2.28E-04,6.05E-04
89000,7.42E-04,1.60E-04,3.32E-04
90000,7.62E-04,1.55E-04,2.66E-04
91000,5.51E-04,1.34E-04,2.66E-04
92000,3.89E-04,8.06E-05,2.52E-04
93000,3.01E-04,6.81E-05,1.77E-04
94000,3.01E-04,7.57E-05,1.56E-04
95000,2.57E-04,3.38E-05,5.74E-05
96000,1.35E-04,5.52E-05,5.74E-05
97000,1.22E-04,2.38E-05,4.62E-05
98000,1.22E-04,1.98E-05,3.60E-05
99000,7.98E-05,1.92E-05,3.05E-05
100000,6.70E-05,1.98E-05,2.72E-05
101000,6.03E-05,1.37E-05,2.49E-05
102000,3.92E-05,1.08E-05,2.36E-05
103000,2.81E-05,8.44E-06,1.61E-05
104000,2.81E-05,8.34E-06,1.61E-05
105000,2.03E-05,6.36E-06,9.40E-06
106000,1.44E-05,4.08E-06,6.56E-06
107000,1.39E-05,4.04E-06,6.56E-06
108000,1.22E-05,2.07E-06,3.99E-06
109000,9.20E-06,2.02E-06,3.06E-06
110000,6.26E-06,1.71E-06,2.72E-06
111000,5.30E-06,1.48E-06,2.72E-06
112000,3.12E-06,1.23E-06,2.05E-06
113000,3.35E-06,6.68E-07,1.59E-06
114000,2.85E-06,6.42E-07,8.85E-07
115000,1.81E-06,5.29E-07,1.03E-06
116000,1.55E-06,3.92E-07,5.13E-07
117000,1.02E-06,3.71E-07,5.13E-07
118000,1.02E-06,3.08E-07,4.19E-07
119000,7.29E-07,2.89E-07,3.23E-07
120000,2.93E-07,2.16E-07,2.62E-07
121000,2.93E-07,1.16E-07,2.20E-07
122000,2.30E-07,1.31E-07,1.93E-07
123000,2.30E-07,,1.05E-07
124000,1.02E-07,,
125000,2.09E-07,,
126000,1.69E-07,,
127000,1.06E-07,,
